m,q,T,c,eta_opt,kappa_opt,R_bar,info_proc_cap
2,0.5,1,0.11,2.736523339,0.000158032,0.625855578,0.625855578
2,0.5,1,0.12,2.544493881,3.28E-05,0.603905357,0.603905357
2,0.5,1,0.1,2.935000499,0.00015709,0.646499489,0.646499489
2,0.5,2,0.11,2.781265175,0.000204482,0.606519727,0.606519727
2,0.5,2,0.12,2.584378186,2.51E-05,0.583808159,0.583808159
2,0.5,2,0.1,3.411066377,0.384766324,0.709615279,0.709615279
2,0.5,3,0.11,3.449417666,0.537803269,0.725248651,0.725248651
2,0.5,3,0.12,2.593086829,0.000226997,0.565269912,0.565269912
2,0.5,3,0.1,3.704487032,0.623343261,0.760978379,0.760978379
2,0.7,1,0.11,2.727226245,0.000398168,0.624873467,0.624873467
2,0.7,1,0.12,2.54634934,0.000171066,0.604109164,0.604109164
2,0.7,1,0.1,2.918575725,0.000263288,0.64479526,0.64479526
2,0.7,2,0.11,2.782010195,0.000766523,0.606726151,0.606726151
2,0.7,2,0.12,2.576914699,0.000557929,0.583024128,0.583024128
2,0.7,2,0.1,3.43773351,0.455937952,0.722149045,0.722149045
2,0.7,3,0.11,3.448994702,0.576217845,0.733553381,0.733553381
2,0.7,3,0.12,2.703808638,0.094468083,0.589546628,0.589546628
2,0.7,3,0.1,3.670946754,0.641821092,0.763577436,0.763577436
2,0.85,1,0.11,2.727377212,0.000414925,0.624830706,0.624830706
2,0.85,1,0.12,2.545585548,4.62E-05,0.604038949,0.604038949
2,0.85,1,0.1,2.9243913,3.90E-05,0.645455876,0.645455876
2,0.85,2,0.11,3.121963153,0.409312129,0.691376848,0.691376848
2,0.85,2,0.12,2.555809592,0.001390954,0.58050579,0.58050579
2,0.85,2,0.1,3.404344517,0.576129386,0.738729799,0.738729799
2,0.85,3,0.11,3.361613311,0.635102714,0.741612533,0.741612533
2,0.85,3,0.12,3.152098347,0.543890285,0.7067887,0.7067887
2,0.85,3,0.1,3.545254189,0.700451071,0.767566715,0.767566715
2,1,1,0.11,2.732144964,0.003179115,0.62576427,0.62576427
2,1,1,0.12,2.549360024,0.000268376,0.604571539,0.604571539
2,1,1,0.1,3.030276567,0.168497217,0.672927001,0.672927001
2,1,2,0.11,3.218920688,0.670407446,0.749955725,0.749955725
2,1,2,0.12,3.038502807,0.578400254,0.718624473,0.718624473
2,1,2,0.1,3.382610711,0.7425162,0.774837248,0.774837248
2,1,3,0.11,3.295272938,0.774791459,0.776797528,0.776797528
2,1,3,0.12,3.171577205,0.732957699,0.757996707,0.757996707
2,1,3,0.1,3.446816192,0.809148573,0.796557083,0.796557083
3,0.3334,1,0.11,2.648885182,7.42E-05,0.46074012,0.730255813
3,0.3334,1,0.12,2.382561703,9.23E-05,0.430106281,0.681702326
3,0.3334,1,0.1,2.924576596,0.00012457,0.489700629,0.776157133
3,0.3334,2,0.11,2.615545629,0.000145596,0.427953315,0.678289957
3,0.3334,2,0.12,2.325134885,0.000195164,0.39465455,0.625512662
3,0.3334,2,0.1,2.928370837,5.39E-05,0.460798875,0.730348937
3,0.3334,3,0.11,2.503802984,0.000112743,0.394569919,0.625378526
3,0.3334,3,0.12,2.14745136,1.87E-05,0.353518366,0.560313353
3,0.3334,3,0.1,2.884776295,0.000629685,0.434673119,0.688940593
3,0.5,1,0.11,2.636911072,0.000140879,0.459456805,0.728221807
3,0.5,1,0.12,2.383914138,0.000110586,0.430248719,0.681928086
3,0.5,1,0.1,2.933106897,0.000358922,0.490518318,0.77745314
3,0.5,2,0.11,2.608400988,0.000182987,0.427228505,0.67714116
3,0.5,2,0.12,2.316835543,0.000292184,0.393637738,0.623901054
3,0.5,2,0.1,2.935536696,0.000305616,0.461540979,0.731525144
3,0.5,3,0.11,2.517478065,0.000186413,0.396156195,0.627892714
3,0.5,3,0.12,2.141470801,8.89E-05,0.352852794,0.559258447
3,0.5,3,0.1,3.022724069,0.075506615,0.4558111,0.7224435
3,0.7,1,0.11,2.635893128,0.000234759,0.459301181,0.727975149
3,0.7,1,0.12,2.424077627,0.000157041,0.435070707,0.689570756
3,0.7,1,0.1,2.940275547,0.000401638,0.491233439,0.778586579
3,0.7,2,0.11,2.597696052,0.000197117,0.425977342,0.675158113
3,0.7,2,0.12,2.356874256,0.000350261,0.39854386,0.631677073
3,0.7,2,0.1,2.944897839,0.001196513,0.462504862,0.733052863
3,0.7,3,0.11,2.512602436,0.00086015,0.395686619,0.627148454
3,0.7,3,0.12,2.141813288,0.000152617,0.35287037,0.559286303
3,0.7,3,0.1,3.820419242,0.656164756,0.602856015,0.955504177
3,0.85,1,0.11,2.642408554,0.000164554,0.460084271,0.729216317
3,0.85,1,0.12,2.34835902,0.000172888,0.425903264,0.675040702
3,0.85,1,0.1,2.943798271,0.000394106,0.491556838,0.779099155
3,0.85,2,0.11,2.615140739,0.001130312,0.427779443,0.678014376
3,0.85,2,0.12,2.332789203,0.001729005,0.395644586,0.627081833
3,0.85,2,0.1,3.584511428,0.646189832,0.600377444,0.951575735
3,0.85,3,0.11,3.41723903,0.638683748,0.575040897,0.911418259
3,0.85,3,0.12,2.14277298,0.000882867,0.353118545,0.559679652
3,0.85,3,0.1,3.903207931,0.854820268,0.648944853,1.028553257
3,1,1,0.11,2.646649062,0.001306437,0.460735049,0.730247776
3,1,1,0.12,2.391956155,0.000268285,0.431237159,0.683494726
3,1,1,0.1,3.452434212,0.500743453,0.593846974,0.941225185
3,1,2,0.11,3.544326734,0.806676153,0.636530356,1.008876744
3,1,2,0.12,3.192707865,0.575493176,0.569101026,0.902003785
3,1,2,0.1,3.893079131,0.95747089,0.689390707,1.09265842
3,1,3,0.11,3.851154378,0.978337163,0.688231713,1.090821458
3,1,3,0.12,3.495375924,0.78473484,0.625172023,0.990874214
3,1,3,0.1,4.082607285,1.10763749,0.725902223,1.150527803
4,0.25,1,0.11,2.277569232,3.69E-05,0.327366096,0.654732192
4,0.25,1,0.12,2.024775367,0.011390889,0.298465294,0.596930588
4,0.25,1,0.1,2.640651959,0.000137111,0.365519065,0.73103813
4,0.25,2,0.11,2.025347765,4.84E-05,0.272812247,0.545624495
4,0.25,2,0.12,1.52965727,1.71E-05,0.215583477,0.431166953
4,0.25,2,0.1,2.489586599,5.78E-05,0.321599401,0.643198802
4,0.25,3,0.11,1.29633645,1.98E-05,0.177673354,0.355346707
4,0.25,3,0.12,0.806293125,5.61E-06,0.122078194,0.244156387
4,0.25,3,0.1,2.247234934,5.15E-05,0.278349373,0.556698746
4,0.3334,1,0.11,2.279742779,3.94E-05,0.327596191,0.655192382
4,0.3334,1,0.12,1.933681034,5.22E-05,0.287788093,0.575576186
4,0.3334,1,0.1,2.658144533,0.000118072,0.367287836,0.734575673
4,0.3334,2,0.11,2.035690269,1.06E-05,0.273969017,0.547938034
4,0.3334,2,0.12,1.504142613,0.000122338,0.212419092,0.424838184
4,0.3334,2,0.1,2.459661784,4.69E-05,0.31858933,0.63717866
4,0.3334,3,0.11,1.271600258,7.18E-05,0.174976966,0.349953931
4,0.3334,3,0.12,0.806219047,3.32E-05,0.122079658,0.244159316
4,0.3334,3,0.1,2.230610144,2.97E-05,0.276653756,0.553307513
4,0.5,1,0.11,2.262843995,0.000124811,0.325777515,0.65155503
4,0.5,1,0.12,1.938882229,1.31E-05,0.288333789,0.576667578
4,0.5,1,0.1,2.577694492,0.00017709,0.358896413,0.717792825
4,0.5,2,0.11,2.042717346,0.000278775,0.274703495,0.54940699
4,0.5,2,0.12,1.552816091,1.87E-05,0.218386443,0.436772885
4,0.5,2,0.1,2.481576539,0.000320798,0.320757008,0.641514016
4,0.5,3,0.11,1.250938313,0.000201173,0.172671061,0.345342122
4,0.5,3,0.12,0.830136308,0.000139,0.124965109,0.249930218
4,0.5,3,0.1,2.221168189,7.28E-05,0.275722439,0.551444879
4,0.7,1,0.11,2.298473964,0.000524866,0.329725317,0.659450634
4,0.7,1,0.12,1.949845995,0.000231726,0.289735289,0.579470577
4,0.7,1,0.1,2.648394614,0.000189596,0.366485473,0.732970947
4,0.7,2,0.11,2.045174822,0.000138309,0.274857988,0.549715976
4,0.7,2,0.12,1.53297564,0.000172954,0.216093986,0.432187972
4,0.7,2,0.1,2.526001916,0.000387094,0.325192016,0.650384032
4,0.7,3,0.11,1.299284724,0.000219831,0.177962736,0.355925472
4,0.7,3,0.12,0.802529871,5.41E-05,0.121571199,0.243142398
4,0.7,3,0.1,2.185947556,0.000567887,0.272195519,0.544391038
4,0.85,1,0.11,2.274811913,0.000232888,0.327002864,0.654005727
4,0.85,1,0.12,1.944710955,0.00015611,0.289188587,0.578377173
4,0.85,1,0.1,2.656855491,0.000227796,0.367152077,0.734304153
4,0.85,2,0.11,2.060679419,0.00137702,0.276755326,0.553510652
4,0.85,2,0.12,1.556093342,0.000307192,0.218852006,0.437704012
4,0.85,2,0.1,2.48555304,0.001197957,0.321265067,0.642530133
4,0.85,3,0.11,1.342230228,6.35E-05,0.182796392,0.365592784
4,0.85,3,0.12,0.830369479,2.25E-05,0.124998997,0.249997994
4,0.85,3,0.1,3.528496652,0.661422148,0.47652107,0.953042139
4,1,1,0.11,2.282239526,0.000446948,0.327683054,0.655366107
4,1,1,0.12,1.93407035,0.000128536,0.28791016,0.575820321
4,1,1,0.1,2.634947473,0.00155218,0.365149467,0.730298934
4,1,2,0.11,2.061127323,0.000777484,0.276686334,0.553372668
4,1,2,0.12,1.530001013,8.45E-05,0.215505855,0.43101171
4,1,2,0.1,3.994400612,0.900523372,0.57967527,1.15935054
4,1,3,0.11,3.699362305,0.78745366,0.528165185,1.05633037
4,1,3,0.12,0.81229198,0.000322018,0.122714228,0.245428456
4,1,3,0.1,4.266711641,1.074609717,0.617855932,1.235711863
